NCTId,Sponsor,Locations
NCT01946269,University of Sao Paulo,"Intensive Care Unit of the Cancer Institute of Sao Paulo State, São Paulo, Brazil"
NCT03092141,University of Sao Paulo,"Samuel Katsuyuki Shinjo, São Paulo, Brazil"
NCT00961805,Federal University of São Paulo,"Federal University of Sao Paulo, São Paulo, Brazil"
NCT04554823,Hospital Israelita Albert Einstein,"Hospital Municipal Vila Santa Catarina, São Paulo, Brazil"
NCT03467282,Hospital de Clinicas de Porto Alegre,"Hospital de Clinicas de Porto Alegre, Porto Alegre, Brazil"
NCT01301924,Oswaldo Cruz Foundation,"Oswaldo Cruz Foundation - IPEC/FIOCRUZ, Rio de Janeiro, Brazil"
NCT04281446,University of Sao Paulo,"Rinaldo Roberto de Jesus Guirro, Ribeirão Preto, Brazil; Universidade de São Paulo, Ribeirão Preto, Brazil"
NCT01358266,Santen Inc.,", Americana, Brazil; , Araraquara, Brazil; , Londrina, Brazil; , Recife, Brazil; , Rio de Janeiro, Brazil; , São Paulo, Brazil; , Sorocaba, Brazil"
NCT02610842,"University of Campinas, Brazil","Clinical Hospital of University of Campinas, Campinas, Brazil; University of Campinas, Campinas, Brazil"
NCT01487083,Eli Lilly and Company,"For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Salvador, Brazil; For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., São Paulo, Brazil"
NCT00644605,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,"Pfizer Investigational Site, São Paulo, Brazil"
NCT02276794,Federal University of Health Science of Porto Alegre,"Federal University of Health Sciences of Porto Alegre, Porto Alegre, Brazil"
NCT04248894,University of Sao Paulo General Hospital,"Heart Institute, São Paulo, Brazil; Heart Institute (InCor), São Paulo, Brazil"
NCT02293382,"Alexion Pharmaceuticals, Inc.",", Porte Alegre, Brazil"
NCT04166188,University of Sao Paulo General Hospital,"Faculdade de Medicina da Universidade de São Paulo, São Paulo, Brazil"
NCT03403088,University of Sao Paulo,"University of Sao Paulo -Ribeirao Preto Campus, Ribeirão Preto, Brazil"
NCT05356403,"Cara Therapeutics, Inc.","Cara Therapeutics Study Site, Belo Horizonte, Brazil; Cara Therapeutics Study Site, Joinville, Brazil; Cara Therapeutics Study Site, Salvador, Brazil; Cara Therapeutics Study Site, São Bernardo do Campo, Brazil; Cara Therapeutics Study Site, São José do Rio Preto, Brazil; Cara Therapeutics Study Site, São Paulo, Brazil; Cara Therapeutics Study Site 2, São Paulo, Brazil; Cara Therapeutics Study Site, São Paulo, Brazil"
NCT03359070,Galeno Desenvolvimento de Pesquisas Clínicas,"Galeno Desenvolvimento de Pesquisas Clinicas Ltda. - ME, Campinas, Brazil"
NCT06226883,"Morphic Therapeutic, Inc. (A Wholly Owned Subsidiary of Eli Lilly and Company)","Chronos Pesquisa Clínica, Brasília, Brazil; Pesquisare, Santo André, Brazil; Pesquisare, Santo André, Brazil; Clínica Hepatogastro JK, São Paulo, Brazil"
NCT03337724,Hoffmann-La Roche,"Santa Casa de Misericordia de Salvador, Salvador, Brazil; Hospital Araujo Jorge; Departamento de Ginecologia E Mama, Goiânia, Brazil; Hospital do Câncer de Londrina, Londrina, Brazil; Instituto Nacional de Cancer - INCa; Oncologia, Rio de Janeiro, Brazil; Hospital Sao Lucas - PUCRS, Porto Alegre, Brazil; Hospital Nossa Senhora da Conceicao, Porto Alegre, Brazil; Faculdade de Medicina do ABC - FMABC, Santo André, Brazil; Hospital Perola Byington, São Paulo, Brazil"
NCT04869527,Biotronik SE & Co. KG,"Santa Casa de Misericórdia de Porto Alegre - Brugada Institute, Porto Alegre, Brazil; BIOTRONIK Coml Médica LTDA, São Paulo, Brazil"
NCT03785769,Universidade Ibirapuera,"Tamara Kerber Tedesco, São Paulo, Brazil"
NCT01833416,Helio Tedesco Silva Junior,"Hospital do Rim e Hipertensao, São Paulo, Brazil"
NCT04575558,Latin American Cooperative Oncology Group,"Núcleo de Oncologia da Bahia - NOB, Salvador, Brazil; Oncoclínicas BH, Belo Horizonte, Brazil; Centro Oncológico do Triângulo - COT, Uberlândia, Brazil; Multihemo, Recife, Brazil; Oncoclinicas RJ, Rio de Janeiro, Brazil; Centro de Pesquisa em Oncologia PUCRS, Porto Alegre, Brazil; Centro Paulista de Oncologia, São Paulo, Brazil"
NCT02589548,Universidade Federal do Rio de Janeiro,"Universidade Federal Do Rio de Janeiro, Rio de Janeiro, Brazil"
NCT02194985,Amicus Therapeutics,"Clinical Study Site, Porto Alegre, Brazil"
NCT02200614,Bayer,", Fortaleza, Brazil; , Salvador, Brazil; , Goiânia, Brazil; , Belo Horizonte, Brazil; , Juiz de Fora, Brazil; , Uberlândia, Brazil; , Curitiba, Brazil; , Recife, Brazil; , Passo Fundo, Brazil; , Porto Alegre, Brazil; , Porto Alegre, Brazil; , Itajaí, Brazil; , Barretos, Brazil; , Jaú, Brazil; , Ribeirao Preto - SP, Brazil; , São Paulo, Brazil; , São Paulo, Brazil; , São Paulo, Brazil; , São Paulo, Brazil; , São Paulo, Brazil; , Sorocaba, Brazil"
NCT03691285,Universidade Federal de Goias,"School of Dentistry, Federal University of Goias, Goiânia, Brazil"
NCT04072835,Milestone Pharmaceuticals Inc.,"5221, Belo Horizonte, Brazil; 5217, Brasília, Brazil; 5215, Campinas, Brazil; 5222, Canoas, Brazil; 5207, Curitiba, Brazil; 5227, Juiz de Fora, Brazil; 5209, Recife, Brazil; 5214, Salvador, Brazil; 5219, Santo André, Brazil; 5212, São José do Rio Preto, Brazil; 5220, São Paulo, Brazil; 5225, São Paulo, Brazil; 5205, Uberlândia, Brazil; 5228, Belo Horizonte, Brazil; 5202, Campinas, Brazil; 5201, Goiânia, Brazil; 5229, Jaú, Brazil; 5235, Rio de Janeiro, Brazil; 5232, São Paulo, Brazil; 5204, Tatuí, Brazil; 5231, Votuporanga, Brazil"
NCT02254408,Gilead Sciences,"Hospital de Clínicas de Porto Alegre, Porto Alegre, Brazil; Fundacao Faculdade Regional Medicina de Sao Jose do Rio Preto, São Paulo, Brazil; Fundação Antonio Prudente - Hospital do Câncer AC Camargo, São Paulo, Brazil; Hospital Israelita Albert Einstein, São Paulo, Brazil; Hospital Santa Marcelina, São Paulo, Brazil; Hospital Universitario USP, São Paulo, Brazil; Instituto Brasileiro de Controle do Câncer-IBCC, São Paulo, Brazil"
NCT03183752,Hospital Universitário Clementino Fraga Filho,"Patricia Santos, Rio de Janeiro, Brazil"
NCT01121835,Sanofi,"Investigational Site Number 076002, Belém, Brazil; Investigational Site Number 076005, Curitiba, Brazil; Investigational Site Number 076004, Fortaleza, Brazil; Investigational Site Number 076001, Porto Alegre, Brazil; Investigational Site Number 076003, São Paulo, Brazil"
NCT05433298,Paulo Brofman,"Paulo Roberto Slud Brofman, Curitiba, Brazil"
NCT02519699,Federal University of São Paulo,"Hospital São Paulo - Universidade Federal de São Paulo, São Paulo, Brazil"
NCT01335321,University of Sao Paulo General Hospital,"Instituto de Ortopedia e Traumatologia do Hospital das Clínicas da Universidade de São Paulo, São Paulo, Brazil"
NCT03382626,University of Sao Paulo General Hospital,"Ambulatório de Reabilitação Cognitiva do Hospital das Clínicas da Universidade de São Paulo, São Paulo, Brazil"
NCT02014155,University of Santa Cruz do Sul,"Universidade de Santa Cruz do Sul, Santa Cruz do Sul, Brazil"
NCT06002126,Weill Medical College of Cornell University,"University of São Paulo, São Paulo, Brazil"
NCT03324035,University of Sao Paulo,"Hospital Das Clínicas da Faculdade de Medicina da USP, São Paulo, Brazil"
NCT02474498,"University of Campinas, Brazil","Piracicaba Dental School, State University of Campinas, Piracicaba, Brazil"
NCT01468987,Eli Lilly and Company,"For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Aparecida de Goiânia, Brazil; For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Brasília, Brazil"
NCT04349514,Monash University,"Lab of Neuroimaging and Dept of Neurology, University of Campinas (UNICAMP), São Paulo, Brazil"
NCT03958084,Alessandro Haupenthal,"Santa Catarina Federal University, Araranguá, Brazil"
NCT03113084,União Química Farmacêutica Nacional S/A,"União Química Farmacêutica Nacional, São Paulo, Brazil"
NCT06470048,Novartis Pharmaceuticals,"Novartis Investigative Site, Salvador, Brazil; Novartis Investigative Site, Curitiba, Brazil; Novartis Investigative Site, Porto Alegre, Brazil; Novartis Investigative Site, São José do Rio Preto, Brazil; Novartis Investigative Site, São Paulo, Brazil; Novartis Investigative Site, São Paulo, Brazil"
NCT01035255,Novartis Pharmaceuticals,"Novartis Investigative Site, Salvador, Brazil; Novartis Investigative Site, Salvador, Brazil; Novartis Investigative Site, Brasília, Brazil; Novartis Investigative Site, Goiânia, Brazil; Novartis Investigative Site, Goiânia, Brazil; Novartis Investigative Site, Goiânia, Brazil; Novartis Investigative Site, São Luís, Brazil; Novartis Investigative Site, Belo Horizonte, Brazil; Novartis Investigative Site, Belo Horizonte, Brazil; Novartis Investigative Site, Uberlândia, Brazil; Novartis Investigative Site, Curitiba, Brazil; Novartis Investigative Site, Belém, Brazil; Novartis Investigative Site, Recife, Brazil; Novartis Investigative Site, Recife, Brazil; Novartis Investigative Site, Recife, Brazil; Novartis Investigative Site, Rio de Janeiro, Brazil; Novartis Investigative Site, Rio de Janeiro, Brazil; Novartis Investigative Site, Rio de Janeiro, Brazil; Novartis Investigative Site, Natal, Brazil; Novartis Investigative Site, Passo Fundo, Brazil; Novartis Investigative Site, Porto Alegre, Brazil; Novartis Investigative Site, Porto Alegre, Brazil; Novartis Investigative Site, Porto Alegre, Brazil; Novartis Investigative Site, Marília, Brazil; Novartis Investigative Site, Ribeirão Preto, Brazil; Novartis Investigative Site, Santo André, Brazil; Novartis Investigative Site, Santo André, Brazil; Novartis Investigative Site, São José do Rio Preto, Brazil; Novartis Investigative Site, São Paulo, Brazil; Novartis Investigative Site, São Paulo, Brazil; Novartis Investigative Site, São Paulo, Brazil; Novartis Investigative Site, Votuporanga, Brazil"
NCT01824485,University of Sao Paulo General Hospital,"Instituto de Ortopedia e Traumatologia HC-FMUSP, São Paulo, Brazil"
NCT06252285,"Sanofi Pasteur, a Sanofi Company","AssociaÃ§Ã£o Obras Sociais IrmÃ£ Dulce - Centro de Pesquisa ClÃ-nica (CPEC)- Site Number : 0760009, Salvador, Brazil; Freire Pesquisa Clínica- Site Number : 0760001, Belo Horizonte, Brazil; Hospital de Clinicas de Porto Alegre- Site Number : 0760005, Porto Alegre, Brazil; Hospital Ernesto Dornelles- Site Number : 0760007, Porto Alegre, Brazil; Hospital Das Clinicas da Faculdade de Medicina de Ribeirão Preto - USP - PPDS- Site Number : 0760010, Ribeirão Preto, Brazil; Fundação Faculdade Regional de Medicina de São José do Rio Preto- Site Number : 0760006, São José do Rio Preto, Brazil; Hospital SÃ£o Paulo da Universidade Federal de Sao Paulo - Escola Paulista de Medicina UNIFESP-EPM- Site Number : 0760002, SÃ£O Paulo, Brazil; Centro Paulista de Investigaçăo Clínica - CEPIC- Site Number : 0760004, São Paulo, Brazil"
NCT02902315,Universidade Federal de Santa Maria,"Universidade Federal do Rio Grande, Rio Grande, Brazil"
NCT06136208,Science Valley Research Institute,"Irmandade Da Santa Casa De Misericórdia De Santos - Science Valley Research Center, Santos, Brazil"
NCT05027399,University of Sao Paulo General Hospital,"Heart Institute (InCor), Hospital das Clinicas do HCFMUSP, São Paulo, Brazil"
NCT01526109,Universidade Gama Filho,"Universidade Gama Filho, Rio de Janeiro, Brazil"
NCT00560404,Hoffmann-La Roche,", Belo Horizonte, Brazil; , Brasília, Brazil; , Campinas, Brazil; , Campo Grande, Brazil; , Cariacica, Brazil; , Curitiba, Brazil; , Curitiba, Brazil; , Fortaleza, Brazil; , Jaboatão dos Guararapes, Brazil; , Joinville, Brazil; , Juiz de Fora, Brazil; , Londrina, Brazil; , Natal, Brazil; , Porto Alegre, Brazil; , Porto Alegre, Brazil; , Ribeirão Preto, Brazil; , Rio de Janeiro, Brazil; , Salvador, Brazil; , São José do Rio Preto, Brazil; , São Luís, Brazil; , São Paulo, Brazil; , São Paulo, Brazil; , São Paulo, Brazil; , São Paulo, Brazil; , São Paulo, Brazil; , Sorocaba, Brazil"
NCT00106548,Hoffmann-La Roche,", Porto Alegre, Brazil; , São Paulo, Brazil"
NCT02688426,Federal University of Health Science of Porto Alegre,"Rodrigo Della Méa Plentz, Porto Alegre, Brazil"
NCT06104878,Takeda,"Hospital São Rafael - Instituto D'Or de Pesquisa e Ensino, Salvador, Brazil; Instituto D'Or de Pesquisa e Ensino, Brasília, Brazil; Oncoclinicas Rio de Janeiro S.A, Rio de Janeiro, Brazil; Beneficência Portuguesa de São Paulo - Real Benemerita Associação Portuguesa de Beneficência, São Paulo, Brazil; Hospital Alemão Oswaldo Cruz - HAOC, São Paulo, Brazil; AC Camargo Cancer Center / Fundação Antonio Prudente Liberdade, São Paulo, Brazil"
NCT06562478,Hospital de Clinicas de Porto Alegre,"Hospital de Clínicas de Porto Alegre, Porto Alegre, Brazil"
NCT03348943,University of Sao Paulo,"Escola de Artes,Ciencias e Humanidades da Universidade d Sao Paulo, São Paulo, Brazil"
NCT00694109,"Kastle Therapeutics, LLC",", São Paulo, Brazil"
NCT04209543,Estetra,"Centro De Medicina Reprodutiva Ltda - Clinica Origen, Belo Horizonte, Brazil; Faculdade de Medicina de Botucatu - UNESP, Botucatu, Brazil; Centro De Pesquisa Clinica Do Brasil, Brasília, Brazil; IPCC-Instituto de Pesquisa Clinica de Campinas, Campinas, Brazil; University of Campinas Medical School, Campinas, Brazil; Centro de Oncologia de Santa Catarina Ltda / Supera Oncologia, Chapecó, Brazil; Instituto Tropical de Medicina Reprodutiva - Clinica INTRO, Cuiabá, Brazil; CEPEME / CERHFAC Centro De Estudos E Pesquisas Em Reproducao Humana E Fertilizacao Assistida De Curitiba Ltda, Curitiba, Brazil; Federal University Of Ceara, Fortaleza, Brazil; Universidade Federal Do Rio Grande Do Norte/ Maternidade Escola Januario Cicco, Natal, Brazil; Hospital Sao Vicente de Paulo, Associacao Hospitalar Beneficente Sao Vicente de Paulo, Passo Fundo, Brazil; Hospital de Clinicas de Porto Alegre (HCPA), Porto Alegre, Brazil; Nucleo de Pesquisa Clinica do Rio Grande do Sul Ltda, Porto Alegre, Brazil; Unidade de Pesquisa Clínica - Centro de Medicina Reprodutiva, Porto Alegre, Brazil; Hospital Sao Lucas da PUC, Porto Alegre, Brazil; lnstituto Brasil De Pesquisa Clinica S.A (IBPCLIN), Rio de Janeiro, Brazil; CEMEC - Faculdade de Medicina do ABC, São Bernardo do Campo, Brazil; CPQuali Pesquisa Clinica LTDA, São Paulo, Brazil; CPClin- Centro de Pesquisas Clinicas Ltda./Clinica Dr. Freddy Goldberg Eliaschewitz, São Paulo, Brazil; Hospital Perola Byington/ Centro de Referencia da Saude da Mulher, São Paulo, Brazil; Universidade Federal De Sao Paulo (Unifesp) - Hospital Sao Paulo (Hsp), São Paulo, Brazil; CEPIC - Centro Paulista de Investigacao Clinica e Servicos Medicos Ltda, São Paulo, Brazil; College - Centro De Pesquisa Clinica E Servicos Medicos Ltda College - Centro De Pesquisa Clinica (Baby Center Medicina Reprodutiva), São Paulo, Brazil; CEDOES - Centro de Diagnostico e Pesquisa da Osteoporose do Espirito Santo, Vitória, Brazil; Santa Casa De Votuporanga-Philanthropic hospital, Votuporanga, Brazil"
NCT00792753,Elixir Medical Corporation,"Instituto Dante Pazzanese, São Paulo, Brazil"
NCT01353053,Federal University of São Paulo,"Hospital Israelita Albert Einstein, São Paulo, Brazil"
NCT02275377,Hospital de Clinicas de Porto Alegre,"Leila Moreira, Porto Alegre, Brazil"
NCT06661681,Federal University of Paraíba,"Federal University of Paraíba, João Pessoa, Brazil"
NCT02964819,University of Nove de Julho,"University of Nove de Julho, São Paulo, Brazil"
NCT03595319,Brasilia University Hospital,"Hospital Universitário de Brasilia, Brasília, Brazil"
NCT06647407,"Sanofi Pasteur, a Sanofi Company","Nelson Rosario Medicos Associados S/S Site Number : 0760004, Curitiba, Brazil; UFMG Site Number : 0760001, Belo Horizonte, Brazil"
NCT03143387,Faculty Sao Leopoldo Mandic Campinas,"Faculdade Sao Leopoldo Mandic, Campinas, Brazil"
NCT03064516,Susana Morimoto,"Universidade Ibirapuera, São Paulo, Brazil"
NCT03645616,Alessandro Haupenthal,"Santa Catarina Federal University, Araranguá, Brazil"
NCT02531516,"Aragon Pharmaceuticals, Inc.",", Barretos, Brazil; , Belo Horizonte, Brazil; , Campinas, Brazil; , Curitiba, Brazil; , Florianópolis, Brazil; , Goiânia, Brazil; , Ijuí, Brazil; , Natal, Brazil; , Porto Alegre, Brazil; , Ribeirão Preto, Brazil; , Rio de Janeiro, Brazil; , Salvador, Brazil; , Santo André, Brazil; , São José do Rio Preto, Brazil; , São Paulo, Brazil; , Sorocaba, Brazil"
NCT05910216,Federal University of Health Science of Porto Alegre,"Aline, Porto Alegre, Brazil"
NCT00877006,"Teva Branded Pharmaceutical Products R&D, Inc.","Teva Investigational Site 503, Barretos, Brazil; Teva Investigational Site 504, Brasília, Brazil; Teva Investigational Site 506, Curitiba, Brazil; Teva Investigational Site 505, Goiânia, Brazil; Teva Investigational Site 502, Jaú, Brazil; Teva Investigational Site 509, Lajeado, Brazil; Teva Investigational Site 507, Porto Alegre, Brazil; Teva Investigational Site 508, Porto Alegre, Brazil; Teva Investigational Site 511, Rio de Janeiro, Brazil; Teva Investigational Site 500, Santo André, Brazil; Teva Investigational Site 501, São Paulo, Brazil"
NCT01700998,Universidade do Extremo Sul Catarinense - Unidade Academica de Ciecias da Saude,"Hospital Sao Jose, Criciúma, Brazil"
NCT02050399,Universidade Federal de Sao Carlos,"Universidade Federal de São Carlos, São Carlos, Brazil"
NCT01032798,"University of Campinas, Brazil","University of Campinas, Campinas, Brazil"
NCT03852563,Bayer,"Medcin Instituto da Pele, São Paulo, Brazil"
NCT01971099,Federal University of Minas Gerais,"Hospital das Clinicas - Universidade Federal de Minas Gerais, Belo Horizonte, Brazil"
NCT02798263,Federal University of São Paulo,"University Federal of Sao Paulo, São Paulo, Brazil"
NCT05202704,Universidade Federal de Sao Carlos,"Unidade Saúde Escola - USE, São Carlos, Brazil"
NCT03383185,Federal University of São Paulo,"Federal University of Sao Paulo - Unifesp, São Paulo, Brazil"
NCT06669754,Pharvaris Netherlands B.V.,"Study Site, Santo André, Brazil"
NCT03119805,Groupe Hospitalier Pitie-Salpetriere,"Palominos, Porto Alegre, Brazil"
NCT00635037,Federal University of São Paulo,"Pain Setor of Federal University of Sao Paulo, São Paulo, Brazil"
NCT01649856,Hoffmann-La Roche,"Crio - Centro Regional Integrado de Oncologia, Fortaleza, Brazil; Instituto Nacional de Cancer - INCa; Oncologia, Rio de Janeiro, Brazil; Clinicas Oncologicas Integradas - COI, Rio de Janeiro, Brazil; Hospital Giovanni Battista - Mae de Deus Center; Instituto do Cancer, Porto Alegre, Brazil; Hospital Amaral Carvalho, Jaú, Brazil; Hospital das Clinicas - FMUSP; Hematologia, São Paulo, Brazil"
NCT02055651,Bayer,", São Paulo, Brazil"
NCT02177929,Universidade do Vale do Paraíba,"Universidade do Vale do Paraíba, São José dos Campos, Brazil"
NCT06917131,Universidade Federal Fluminense,"Denise Mafra, Rio de Janeiro, Brazil"
NCT03171077,Federal University of Bahia,"Complex Hospital Professor Edgard Santos, Federal University of Bahia, Salvador, Brazil"
NCT02469454,University of Sao Paulo,"Clinical Hospital of Sao Paulo University, Ribeirão Preto, Brazil"
NCT02299505,Novartis Pharmaceuticals,"Novartis Investigative Site, Natal, Brazil; Novartis Investigative Site, Passo Fundo, Brazil; Novartis Investigative Site, Porto Alegre, Brazil; Novartis Investigative Site, Itajaí, Brazil; Novartis Investigative Site, Barretos, Brazil; Novartis Investigative Site, São Paulo, Brazil"
NCT03232866,Paulista University,"Franciele Marques Vanderlei, Presidente Prudente, Brazil"
NCT00903422,GlaxoSmithKline,"GSK Investigational Site, Salvador, Brazil; GSK Investigational Site, Belo Horizonte, Brazil; GSK Investigational Site, Rio de Janeiro, Brazil; GSK Investigational Site, Rio de Janeiro, Brazil"
NCT01461954,Shire,"Hospital São Paulo/Federal University of São Paulo (UNIFESP), São Paulo, Brazil"
NCT01335594,Luciana Almeida Moreira da Paz Oliveira,"Instituto de Assistência Médica ao Servidor Público Estadual, São Paulo, Brazil"
NCT00741754,UPECLIN HC FM Botucatu Unesp,"Dental School - São Paulo State University, Araçatuba, Brazil"
NCT00600756,AstraZeneca,"Research Site, Fortaleza, Brazil; Research Site, Salvador, Brazil; Research Site, Aparecida de Goiânia, Brazil; Research Site, Belo Horizonte, Brazil; Research Site, Curitiba, Brazil; Research Site, Recife, Brazil; Research Site, Rio de Janeiro, Brazil; Research Site, Porto Alegre, Brazil; Research Site, Itapira, Brazil; Research Site, Ribeirão Preto, Brazil; Research Site, São Paulo, Brazil; Research Site, Sorocaba, Brazil; Research Site, Botucatu, Brazil"
NCT02809729,Fabiola Soares Moreira Campos,"Universidade Do Vale Do Sapucai, Pouso Alegre, Brazil"
NCT03596645,"Janssen Research & Development, LLC","MK Blumenau Pesquisa Clínica, Blumenau, Brazil; Hospital Pequeno Principe, Curitiba, Brazil; Irmandade Santa Casa de Misericordia de Porto Alegre, Porto Alegre, Brazil; BR Trials, São Paulo, Brazil"
NCT06129539,Debiopharm International SA,"Hospital Universitário João de Barros Barreto, Belém, Brazil; Hospital Da Criança de Brasília Jose Alencar, Brasília, Brazil; CETI - Centro de Estudos em Terapias Inovadoras Ltda, Curitiba, Brazil; Hospital Universitario Walter Cantidio, Fortaleza, Brazil; Clínica de Endocrinologia e Metabologia Ltda, Lago Sul, Brazil; Nucleo de Pesquisa Clínica do Rio Grande do Sul-NPCRS, Porto Alegre, Brazil; Fundação Faculdade Regional de Medicina de São José do Rio Preto, São José do Rio Preto, Brazil; CPCLIN - Centro de Pesquisas Clínicas Ltda., São Paulo, Brazil; CPQuali Pesquisa Clinica, São Paulo, Brazil; Irmandade Santa Casa de São Paulo, São Paulo, Brazil; Integral Pesquisa e Ensino, Votuporanga, Brazil"
NCT02743494,Bristol-Myers Squibb,"Local Institution - 0095, Brasília, Brazil; Local Institution - 0096, Belo Horizonte, Brazil; Local Institution - 0221, Curitiba, Brazil; Local Institution - 0059, Ijuí, Brazil; Local Institution - 0060, Porto Alegre, Brazil; Local Institution - 0223, Itacorubi, Florianopolis, Brazil; Local Institution - 0061, Barretos, Brazil; Local Institution - 0222, Sao Jose de Rio Preto, Brazil; Local Institution - 0065, Rio de Janeiro, Brazil; Local Institution - 0064, Salvador, Brazil; Local Institution - 0062, São Paulo, Brazil; Local Institution - 0063, São Paulo, Brazil"
NCT04511429,D'Or Institute for Research and Education,"Hospital Federal de Bonsucesso, Rio de Janeiro, Brazil; Hospital Estadual da Criança, Rio de Janeiro, Brazil"
NCT01920529,Instituto Materno Infantil Prof. Fernando Figueira,"Integral Medicine Institute Professor. Fernando Figueira-IMIP, Recife, Brazil"
NCT04943445,Latin American Cooperative Oncology Group,"CRIO - Centro Regional Integrado de Oncologia, Fortaleza, Brazil; Liga Norte Riograndense Contra o Câncer, Natal, Brazil; CPO - Centro de Pesquisa em Oncologia do Hospital São Lucas da PUCRS, Porto Alegre, Brazil; Hospital de Amor de Barretos, Barretos, Brazil; Hospital das Clínicas da Faculdade de Medicina de Ribeirão Preto - USP, Ribeirão Preto, Brazil; FUNFARME - Hospital de Base de São José do Rio Preto, São José do Rio Preto, Brazil; INCA - Instituto Nacional de Câncer, Rio de Janeiro, Brazil; ICESP - Instituto do Câncer do Estado de São Paulo, São Paulo, Brazil; BP - A Beneficência Portuguesa de São Paulo, São Paulo, Brazil; A.C. Camargo Cancer Center, São Paulo, Brazil"
NCT00536354,University of Sao Paulo,"University of São Paulo, São Paulo, Brazil"
NCT00428051,Pfizer,"Pfizer Investigational Site, Goiânia, Brazil"
NCT03154931,University of Sao Paulo General Hospital,"AMBAN - Anxiety Program at IPQ-HCFMUSP, São Paulo, Brazil"
NCT01547195,Federal University of São Paulo,"Ambulatory at UNIFESP, São Paulo, Brazil; Universidade Federal de São Paulo, São Paulo, Brazil"
NCT03506594,Centro de Atenção ao Assoalho Pélvico,"Centro de Atenção ao Assoalho Pelvico, Salvador, Brazil"
NCT01082731,Centers for Disease Control and Prevention,"Hospital Geral Maternidade de Cruzeiro do Sul, Cruzeiro do Sul, Brazil; Centro de Pesquisa em Patologias Tropicais, Porto Velho, Brazil"
NCT04219241,Azidus Brasil,"Azidus Brasil Pesquisa Científica e Desenvolvimento Ltda., Valinhos, Brazil"
NCT00496769,Bristol-Myers Squibb,"Local Institution, Salvador, Brazil; Local Institution, Salvador, Brazil; Local Institution, Belo Horizonte, Brazil; Local Institution, Uberaba, Brazil; Local Institution, Uberaba, Brazil; Local Institution, Campina Grande do Sul, Brazil; Local Institution, Curitiba, Brazil; Local Institution, Curitiba, Brazil; Local Institution, Maringá, Brazil; Local Institution, Belém, Brazil; Local Institution, Natal, Brazil; Local Institution, Porto Alegre, Brazil; Local Institution, Porto Alegre, Brazil; Local Institution, Porto Alegre, Brazil; Local Institution, Porto Alegre, Brazil; Local Institution, Porto Alegre, Brazil; Local Institution, Porto Alegre, Brazil; Local Institution, Blumenau, Brazil; Local Institution, São José, Brazil; Local Institution, Botucatu, Brazil; Local Institution, Campinas, Brazil; Local Institution, Marília, Brazil; Local Institution, Marília, Brazil; Local Institution, San Jose- Do Rio Preto, Brazil; Local Institution, São José do Rio Preto, Brazil; Local Institution, São José do Rio Preto, Brazil; Local Institution, São José do Rio Preto, Brazil; Local Institution, Rio de Janeiro, Brazil; Local Institution, São Paulo, Brazil; Local Institution, São Paulo, Brazil; Local Institution, São Paulo, Brazil; Local Institution, São Paulo, Brazil"
NCT06542666,Federal University of Paraíba,"Federal University of Paraíba, João Pessoa, Brazil"
NCT02300051,University of Sao Paulo General Hospital,"Instituto de Psiquiatria do Hospital das Clínicas da Universidade de São Paulo[University of Sao Paulo General Hospital], São Paulo, Brazil"
NCT04753151,Hospital de Clinicas de Porto Alegre,"Andre Prato Schmidt, Porto Alegre, Brazil"
NCT00297102,AstraZeneca,"Altana Pharma/Nycomed Investigational Site, Belo Horizonte - MG CEP, Brazil; Altana Pharma/Nycomed Investigational Site, Botucatu - SP CEP, Brazil; Altana Pharma/Nycomed Investigational Site, Curitiba-PR, Brazil; Altana Pharma/Nycomed Investigational Site, Florianópolis-SC, Brazil; Altana Pharma/Nycomed Investigational Site, Juiz de Fora-MG, Brazil; Altana Pharma/Nycomed Investigational Site, Porto Alegre, Brazil; Altana Pharma/Nycomed Investigational Site, Porto Alegre-RS, Brazil; Altana Pharma/Nycomed Investigational Site, Porto Alegre-RS, Brazil; Altana Pharma/Nycomed Investigational Site, Quadra 605 Brasilia - DF, Brazil; Altana Pharma/Nycomed Investigational Site, Recife - PE, Brazil; Altana Pharma/Nycomed Investigational Site, Rio de Janeiro-RJ, Brazil; Altana Pharma/Nycomed Investigational Site, Santo André-SP, Brazil; Altana Pharma/Nycomed Investigational Site, São Paulo-SP, Brazil; Altana Pharma/Nycomed Investigational Site, São Paulo-SP, Brazil; Altana Pharma/Nycomed Investigational Site, São Paulo-SP, Brazil"
