CNES,NOMEFANT
2337800,HOSPITAL JACOB FACURI
2337851,HOSPITAL INFANTIL DE CAMPINAS
2338106,HOSPITAL SANTA GENOVEVA
2338114,HOSPITAL SANTA LUCIA
2338122,CLINICA DE REPOUSO DE GOIANIA
2338130,PRONTO SOCORRO INFANTIL DE GOIANIA
2338173,HOSPITAL SANTA ROSA
2338181,HOSPITAL SAO LUCAS
2338203,HOSPITAL LUCIO REBELO
2338262,HOSPITAL DE URGENCIAS DE GOIAS DR VALDEMIRO CRUZ HUGO
2338351,SANTA CASA DE MISERICORDIA DE GOIANIA
2338378,HOSPITAL E MATERNIDADE VILA NOVA LTDA
2338386,FUNDACAO BANCO DE OLHOS DE GOIAS
2338416,PRONTO SOCORRO PARA QUEIMADURAS LTDA
2338424,HOSPITAL DAS CLINICAS
2338432,HOSPITAL CIDADE JARDIM
2338440,HOSPITAL GOIANIA LESTE
2338467,INSTITUTO DE OLHOS DE GOIANIA
2338564,MATERNIDADE NASCER CIDADAO
2338599,HOSPITAL SAO MIGUEL
2338734,HOSPITAL ESTADUAL DR ALBERTO RASSI HGG
2339080,HOSPITAL ESTADUAL E MATERNIDADE N SRA DE LOURDES HEMNSL
2339110,GASTRO SALUSTIANO HOSPITAL
2339129,HOSPITAL MARIA AUXILIADORA
2339137,HOSPITAL SAO DOMINGOS
2339161,HOSPITAL CORACAO DE JESUS
2339188,CLINICA JARDIM AMERICA
2339196,HOSPITAL ESTADUAL DA MULHER DR JURANDIR DO NASCIMENTO HEMU
2339218,HOSPITAL SAO FRANCISCO
2339234,HOSPITAL RUY AZEREDO
2339463,PRONTO SOCORRO PSIQUIATRICO PROFESSOR WASSILY CHUC
2339668,HOSPITAL UROLOGICO PUIGEVERTE
2339706,HOSPITAL SAMARITANO
2339722,HOSPITAL DA CRIANCA
2339765,HOSPITAL NEUROLOGICO
2340038,HOSPITAL MUNICIPAL DOUTOR HENRIQUE SANTILLO
2340046,HOSPITAL PADRE THIAGO
2340186,CENTRO DE SAUDE MENTAL CLODOVEU DE CARVALHO
2340194,HOSPITAL ESTADUAL DE LUZIANIA
2340526,HOSPITAL MUNICIPAL DE PIRES DO RIO
2340674,CLINICA PSIQUIATRICA MARAT DE SOUZA
2340682,ASSOCIACAO PRO CARITAS
2340690,HOSPITAL MUNICIPAL DE RIO VERDE GOIAS
2340704,HOSPITAL PRESBITERIANO DR GORDON
2340720,CEMAB CENTRO MEDICO AUGUSTA BASTOS
2340739,ABRIGO DOS VELHOS
2341093,HOSPITAL NOSSA SENHORA APARECIDA AVELINOPOLIS
2342073,HOSPITAL MUNICIPAL GUMERCINDO BARBOSA
2343185,HOSPITAL MUNICIPAL DE INDIARA
2343509,HOSPITAL MUNICIPAL ATANAZIO FERREIRA DA CUNHA
2343525,HOSPITAL DE CARIDADE SAO PEDRO D ALCANTARA
2343568,HOSPITAL E MATERNIDADE DR BRASIL CAIADO
2360470,HOSPITAL MUNICIPAL ANTONIO MARTINS DA COSTA
2361396,HOSPITAL MUNICIPAL DE CUMARI
2361477,HOSPITAL SAO CAMILO FORMOSA
2361701,HOSPITAL MATERNO INFANTIL DE ARAGOIANIA
2361736,HOSPITAL MUNICIPAL DE ARACU
2361744,HOSPITAL MUNICIPAL JAMEL CECILIO ANAPOLIS
2361779,INSTITUTO DE MEDICINA DO COMPORTAMENTO EURIPEDES BARSANULFO
2361787,SANTA CASA DE MISERICORDIA DE ANAPOLIS
2361868,HOSPITAL MUNICIPAL JAIR PAIVA
2361949,HOSPITAL ESTADUAL DE JARAGUA SANDINO DE AMORIM
2371367,HOSPITAL MUNICIPAL DE MARZAGAO
2381664,HOSPITAL MUNICIPAL CAMPO ALEGRE
2381834,HOSPITAL MUNICIPAL SAO VICENTE DE PAULA
2381877,HOSPITAL MUNICIPAL DE NOVA VENEZA
2381885,HOSPITAL MUNICIPAL DE BARRO ALTO
2381958,HOSPITAL MUNICIPAL DONA SINHA MOSSAMEDES
2381966,HOSPITAL MUNICIPAL ARISTON EUGENIO DA SILVA ARENOPOLIS
2381974,HOSPITAL MUNICIPAL MARANATHA AMORINOPOLIS
2381990,HOSPITAL MUNICIPAL GETULIO VARGAS
2382032,HOSPITAL MUNICIPAL LUCI PEREIRA DE OLIVEIRA
2382164,HOSPITAL MUNICIPAL MARIA JOAQUINA DE JESUS CORREGO DO OURO
2382237,HOSPITAL MUNICIPAL JULIO NATALICIO DE LIMA
2382369,HOSPITAL MUNICIPAL DE ARAGUAPAZ
2382377,HOSPITAL MUNICIPAL DE BRITANIA
2382415,HOSPITAL MUNICIPAL DE HEITORAI
2382431,HOSPITAL MUNICIPAL ADAILTON DO AMARAL
2382466,HOSPITAL MUNICIPAL DE MORRINHOS
2382474,HOSPITAL ESTADUAL DE S LUIS DE MONTES BELOS DR GERALDO LANDO
2382482,HOSPITAL MUNICIPAL DE ITABERAI DR GILBERTO DA SILVA CALDAS
2382490,HOSPITAL MUNICIPAL THUANY GARCIA RIBEIRO
2382644,HOSPITAL MUNICIPAL RIO CLARO JAUPACI
2382687,HOSPITAL MUNICIPAL CRISTO REDENTOR
2382709,HOSPITAL MUNICIPAL DE CAVALCANTE
2382792,HOSPITAL MUNICIPAL DR ARQUIMEDES VIEIRA DE BRITO POSSE
2382911,HOSPITAL MUNICIPAL FORMOSO
2382938,HOSPITAL MUNICIPAL DE MUTUNOPOLIS
2383012,HOSPITAL MUNICIPAL DE SAO SIMAO
2383098,HOSPITAL MUNICIPAL DE CROMINIA
2383209,HOSPITAL MUNICIPAL DE SANTA HELENA
2383233,HOSPITAL MUNICIPAL DE CAMPOS BELOS
2383322,HOSPITAL MUNICIPAL SAGRADO CORACAO JESUS ESTRELA DO NORTE
2383381,HOSPITAL MUNICIPAL SANTA MADALENA
2383489,HOSPITAL MUNICIPAL PEDRO MARTINS DE SOUZA
2383578,HOSPITAL MUNICIPAL DR MANUELITO PARANAIGUARA
2383586,HOSPITAL MUNICIPAL SAO MARCOS CAMPINACU
2383691,HOSPITAL MUNICIPAL DE VICENTINOPOLIS
2383896,HOSPITAL MUNICIPAL DE CRISTALINA CHAUD SALLES
2383942,HOSPITAL MUNICIPAL DE PONTALINA
2383950,HOSPITAL NATALINO ALBERTO DE MORAIS
2383985,HOSPITAL MUNICIPAL DE MONTES CLAROS DE GOIAS
2384035,HOSPITAL MUNICIPAL DE SANTA ROSA DE GOIAS
2384086,HOSPITAL MUNICIPAL DE CAMPINORTE
2384256,HOSPITAL MUNICIPAL SANTA LUZIA
2436906,HOSPITAL MUNICIPAL DE CORUMBAIBA
2436914,HOSPITAL MUNICIPAL SAULO GOMES PALMELO
2436930,HOSPITAL MUNICIPAL DE ITARUMA
2437023,HOSPITAL MUNICIPAL DE NOVA CRIXAS
2437120,HOSPITAL MUNICIPAL DE ITAUCU
2437139,HOSPITAL MUNICIPAL DE CALDAS NOVAS
2437171,HOSPITAL MUNICIPAL DR MARIA MARCIA GONZAGA
2437198,HOSPITAL MUNICIPAL DE MORRO AGUDO DE GOIAS
2437244,HOSPITAL MUNICIPAL NOSSA SENHORA DO DESTERRO
2437449,HOSPITAL MUNICIPAL DOM BOSCO
2437538,HOSPITAL MUNICIPAL DE SANTA TEREZA DE GOIAS
2437570,HOSPITAL PUBLICO MUNICIPAL ROSULINO CAMPOS B DE MINAS
2437597,HOSPITAL MUNICIPAL DE CABECEIRAS
2437627,HOSPITAL MUN DOM LUIZ FERNANDES SANTO ANTONIO DO DESCOBERTO
2437643,HOSPITAL MUNICIPAL DE SANTA BARBARA
2437651,HOSPITAL MUNICIPAL MATERNO INFANTIL SANTA RITA DE CASSIA
2437678,HOSPITAL MATERNO INFANTIL FAINA
2437694,HOSPITAL MUNICIPAL ISABEL DE ARAUJO BARRETO CAMPOS VERDES
2437767,HOSPITAL MUNICIPAL ELIAS AGUIAR E SILVA
2437775,HOSPITAL MUNICIPAL JOAO VITORINO
2437783,HOSPITAL ESTADUAL DE PIRENOPOLIS ERNESTINA LOPES JAIME
2437988,HOSPITAL MUNICIPAL DE MAMBAI
2437996,HOSPITAL MUNICIPAL LUIZA DE SOUZA RAMOS
2438003,HOSPITAL MUNICIPAL DE ITAJA
2438119,HOSPITAL MUNICIPAL MARIA ABADIA LOBO SANTA CRUZ DE GOIAS
2438143,HOSPITAL NOSSA SENHORA DE FATIMA SERRANOPOLIS
2438151,UNIDADE MISTA HOSPITALAR DE SIMOLANDIA
2438178,HOSPITAL MUNICIPAL DE FAZENDA NOVA
2438291,HOSPITAL MUNICIPAL JORGE ASSAD SALLES
2438313,HOSPITAL MUNICIPAL DR EDNALDO BARBOZA MACHADO
2438410,HOSPITAL MUNICIPAL SANTA LUZIA
2439883,HOSPITAL MUNICIPAL OSVALDO RIBEIRO DE MOURA
2441268,HOSPITAL MUNICIPAL SANTA CATARINA
2441411,CASA DE SAUDE SANTA ANA URUANA
2441446,HOSPITAL E MATERNIDADE MENINO JESUS
2441500,HOSPITAL MUNICIPAL SAO VICENTE DE PAULA
2441675,MATERNIDADE DR ADALBERTO PEREIRA DA SILVA ANAPOLIS
2441683,INSTITUTO DE CARDIOLOGIA ANAPOLISGO
2441705,HOSPITAL SAO DOMINGOS GOIANESIA
2441799,HOSPITAL DE GOIANDIRA
2441829,HOSPITAL SAO VICENTE
2441845,HOSPITAL MUNICIPAL ARISTON SOARES DA ROCHA
2441918,HOSPITAL MUNICIPAL NOSSA SENHORA DA PENHA
2441969,HOSPITAL E MATERNIDADE SAO SEBASTIAO VIANOPOLIS
2441977,HOSPITAL SANTA CASA DO POVO
2442019,HOSPITAL SAGRADO CORACAO DE JESUS NEROPOLIS
2442027,HOSPITAL SAO JOSE PETROLINA DE GOIAS
2442086,HOSPITAL GERAL DE CALDAS NOVAS
2442094,HOSPITAL SAO ZACARIAS LTDA ANAPOLIS
2442108,HOSPITAL EVANGELICO GOIANO SA
2442116,HOSPITAL NOSSA SENHORA APARECIDA ANAPOLISGO
2442124,CASA DE SAUDE NOSSA SENHORA DE LOURDES ANAPOLIS
2442167,HOSPITAL SANTA TERESINHA ANICUNS GO
2442191,HOSPITAL SAO FRANCISCO ITAPACI
2442205,HOSPITAL SAO VICENTE DE PAULO PIRACANJUBA
2442272,HOSPITAL DE OLHOS CAMARGO ZAMBRIN
2442302,HOSPITAL MUNICIPAL SANTO ANTONIO OUVIDOR
2442388,HOSPITAL MUNICIPAL ELBA MARTINS SILVA
2442426,HOSPITAL E MATERNIDADE SAO JORGE
2442450,HOSPITAL MUNICIPAL SAO PIO X
2442477,HOSPITAL MUNICIPAL HENRIQUE ANTONIO SANTILO
2442507,HOSPITAL SANTA MONICA ITAPURANGA
2442531,HOSPITAL SAO PAULO IPAMERI
2442590,HOSPITAL BOM JESUS BOM JESUS DE GOIAS
2442604,HOSPITAL NASR FAIAD
2442612,SANTA CASA DE MISERICORDIA DE CATALAO
2442620,HOSPITAL E MATERNIDADE SAO NICOLAU
2442655,HOSPITAL E MATERNIDADE SANTA MARGARIDA PALMEIRAS DE GOIAS
2442663,HOSPITAL MATERNIDADE NOSSA SENHORA PERPETUO SOCORRO
2442671,HOSPITAL MONTES BELOS SAO LUIS DE MONTES BELOS
2442698,HOSPITAL SAO FRANCISCO ITAPURANGA
2442701,HOSPITAL SAO LUCAS DE INDIARA
2442728,HOSPITAL MUNICIPAL BOM JESUS
2442736,CASA DE SAUDE SANTA LUZIA ANICUNS
2442752,HOSPITAL MUNICIPAL DR JOSE QUARANTA FILHO
2442779,HOSPITAL E MATERNIDADE BELA VISTA LTDA BELA VISTA
2442817,HOSPITAL SANTA MARTA NIQUELANDIAGO
2442841,MORHAN ANAPOLIS
2442930,HOSPITAL E MATERNIDADE SAO LUCAS
2442949,HOSPITAL E MATERNIDADE MOZARLANDIA
2442965,HOSPITAL FAMP SAMARITANO
2443007,HOSPITAL DONA ELISA CAMPOS NIQUELANDIA
2443023,HOSPITAL NOSSA SENHORA DO CARMO
2443031,CASA DE SAUDE SYLVIO DE MELLO
2443120,HOSPITAL CRISTO REDENTOR DE BELA VISTA
2443139,HOSPITAL MUNICIPAL DE ANICUNS
2443163,CLINICA SANTA MARIA IPAMERI
2443171,HOSPITAL EVANGELICO DE IPORA
2443198,HOSPITAL E MATERNIDADE SAO PAULO IPORA
2506661,HOSPITAL ESTADUAL DOENCAS TROPICAIS DR ANUAR AUAD HDT
2506815,HOSPITAL DE CANCER
2506858,HOSPITAL E MATERNIDADE DONA IRIS
2506947,HOSPITAL OLAVO SCHERMER PALMEIRAS DE GOIAS
2506998,HOSPITAL CRISTO REDENTOR IPORAGO
2507048,HOSPITAL SANTA HELENA SANTA HELENA DE GOIAS
2507056,HOSPITAL SANTO ANTONIO ANAPOLIS
2507102,HOSPITAL LABORATORIO E CLINICA DE IMAGEM SAO CARLOS
2507129,HOSPITAL E MATERNIDADE JARAGUA
2507137,HOSPITAL E MATERNIDADE MENINO JESUS RUBIATABA
2507161,HOSPITAL SANTA CECILIA
2507277,HOSPITAL E MATERNIDADE SANTO ANTONIO PIRANHASGO
2507307,HOSPITAL CRISTO REDENTOR PARAUNA
2507315,CLINICA SAO FRANCISCO DE ASSIS
2507358,SANTA CASA DE MISERICORDIA DE BURITI ALEGRE
2507420,HOSPITAL MUNICIPAL DE CRIXAS
2507641,INSTITUTO DE PSIQUIATRIA PROFESSOR WASSILY CHUC LTDA
2507676,HOSPITAL MUNICIPAL DE LEOPOLDO DE BULHOES
2507714,HOSPITAL E MATERNIDADE SANTO ANTONIO MARA ROSA
2507803,HOSPITAL GOIANIRA
2507862,HOSPITAL E MATERNIDADE N SR DABADIA NIQUELANDIA
2507870,HOSPITAL MUNICIPAL SANTA GEMMA
2517949,MATERNIDADE E HOSPITAL SAO JUDAS TADEU
2517957,CASA DE EURIPEDES
2518295,ASMIGO
2518325,HOSPITAL TRAUMATO ORTOPEDICO
2518872,CLINICA ISABELA
2518996,HOSPITAL ANGELICA
2519054,IGOPE
2519089,HOSPITAL E MATERNIDADE DOM BOSCO
2519151,HOSPITAL SANTA CATARINA
2519186,INSTITUTO ESPIRITA BATUIRA DE SAUDE MENTAL
2519208,HOSPITAL ORTOPEDICO DE GOIANIA GERALDO PEDRA
2519429,HOSPITAL SANTA MONICA
2519445,HOSPITAL REGIONAL DE CRIXAS
2519496,HOSPITAL MODELO REGIONAL
2519569,HOSPITAL MUNICIPAL NOSSA SRA DAS GRACAS RIALMA
2519585,HOSPITAL SAO VICENTE RUBIATABA
2519593,HOSPITAL MUNICIPAL DE IPORA
2534517,HOSPITAL DR JOSE PEIXOTO DA SILVEIRA ITAPACI
2534525,HOSPITAL MUNICIPAL DR EURICO MARTINS
2534541,HOSPITAL DA CRIANCA ANAPOLIS
2534584,HOSPITAL MUNICIPAL IRMA FANY DURAN GOIANESIA
2534665,HOSPITAL NOSSA SENHORA MONT SERRAT
2534754,HOSPITAL NOSSA SENHORA DO ROSARIO
2534789,HOSPITAL MUNICIPAL SANTA EFIGENIA NIQUELANDIA
2534797,HOSPITAL MUNICIPAL DE HIDROLINA
2534835,HOSPITAL MUNICIPAL MARILIA MENDONCA
2534878,INSTITUTO MEDICO SAMARITANO PORANGATU
2534886,HOSPITAL DAS CLINICAS NAZEOZENO
2534916,HOSPITAL MUNICIPAL DE ALVORADA DO NORTE
2534924,HOSPITAL MUNICIPAL DE MONTE ALEGRE DE GOAIS
2534932,HOSP MUN MALVINA HERCULANO SIZERVINSK COLINAS DO SUL GO
2534940,HOSPITAL MUNICIPAL DE IACIARA
2534967,HOSPITAL ESTADUAL DE FORMOSA DR CESAR SAAD FAYAD
2535130,HOSPITAL E MATERNIDADE SANTA CLARA JUSSARA
2535157,HOSPITAL MUNICIPAL DE ITAPURANGA
2535165,HOSPITAL MUNICIPAL DE MOZARLANDIA
2535181,HOSPITAL MUNICIPAL JOSE XAVIER DE CASTRO CACHOEIRA DOURADA
2535211,HOSPITAL MUNICIPAL NAZIR SEABRA GUIMARAES
2535238,HOSPITAL MUNICIPAL SANTA CLARA BOM JARDIM DE GOIAS
2535262,HOSPITAL DE QUEIMADURAS ANAPOLIS
2535270,HOSPITAL MUNICIPAL DE SANTA TEREZINHA DE GOIAS
2535327,HOSPITAL MUNICIPAL DE FLORES DE GOIAS
2535408,HOSPITAL SAO CAMILO TRINDADE
2535521,HOSPITAL MUNICIPAL SAO TOMAZ DE AQUINO COCALZINHO DE GOIAS
2535556,HOSPITAL ESTADUAL DE JATAI DR SERAFIM DE CARVALHO
2535637,HOSPITAL MATERNO INFANTIL DONA ZEBINA
2535742,HOSPITAL MUNICIPAL MILTON AMARO DO NASCIMENTO
2535785,HOSPITAL MUNICIPAL DORALICE GALDINO ROCHA TAQUARAL
2535793,HOSPITAL DONA JOSEFA TRINDADE
2535939,HOSPITAL SAO COTTOLENGO
2535963,HOSPITAL MUNICIPAL DR CLARET
2536021,HOSPITAL MUNICIPAL MARIA DO GALENO
2536048,HOSPITAL MUNICIPAL SANTO ANTONIO DE PADUA
2536331,HOSPITAL REGIONAL DE JATAI
2550679,HOSPITAL MUNICIPAL NOSSA SENHORA APARECIDA
2569671,HOSPITAL MUNICIPAL JOSE INOCENCIO DE OLIVEIRA DE MARA ROSA
2569701,HOSPITAL MUNICIPAL DE SAO DOMINGOS
2569728,HOSPITAL MUNICIPAL DE CIDADE OCIDENTAL
2569760,HOSPITAL MUNICIPAL DR CARLOS MAGNO DA NOBREGA
2569809,HOA
2569841,HOSPITAL MUNICIPAL DE ITAGUARU
2570076,HOSPITAL E MATERNIDADE SANTA LUZIA GOIANESIA
2570084,HOSPITAL DE TRINDADE
2570092,HOSPITAL SAO SEBASTIAO ITABERAI
2570378,HOSPITAL NOSSA SENHORA DE FATIMA
2570416,HOSPITAL E MATERNIDADE MUNICIPAL ENF MARIA HELENA SANTOS
2570424,HOSPITAL MUNICIPAL SAO SEBASTIAO DE MAIRIPOTABA
2570440,HOSPITAL SAO COSME E DAMIAO ITABERAI
2570777,HGSC HOSPITAL GERAL DE SENADOR CANEDO
2570823,HOSPITAL E MATERNIDADE NOSSA SENHORA APARECIDA LTDA
2571072,HOSPITAL SAO LUCAS
2571080,HOSPITAL EVANGELICO DE ACREUNA
2571196,HOSPITAL SANTA MARIA DIA
2571218,HOSPITAL MUNICIPAL MAE ROBERTA
2571242,HOSPITAL DAS CLINICAS DR NEVES
2571439,HOSPITAL MUNICIPAL ANTONIO CARVALHO SANTA FE DE GOIAS
2589192,HOSPITAL MUNICIPAL MONSENHOR ANGELINO FERNANDES E FERNANDES
2589214,HOSPITAL NOSSA SENHORA DAS GRACAS
2589222,HOSPITAL E MATERNIDADE DONA LATIFA
2589230,HOSPITAL DA MULHER
2589249,HOSPITAL E MATERNIDADE MAE MARIA
2589265,HOSPITAL ESTADUAL DE ITUMBIARA SAO MARCOS
2589281,HOSPITAL SANTA MARIA
2589516,HOSPITAL E MATERNIDADE MARLENE TEIXEIRA
2589532,CLINICA SANTA MONICA
2589605,HOSPITAL SAO SILVESTRE
2589672,PAX CLINICA PSIQUIATRICA
2589737,HOSPITAL GARAVELO
2589761,HOSPITAL ENCORE
2652102,HOSPITAL EBENEZER
2653818,HOSPITAL ESTADUAL DERMATOLOGIA SANIT COLONIA STA MARTA HDS
2659832,CENTRO DE REFERENCIA EM OFTALMOLOGIA UFG
2673932,CRER
2762528,HOSPITAL MUNICIPAL DE TROMBAS
2762536,HOSPITAL OTACILIO JOSE REZENDE PORTELANDIA
2762544,HOSPITAL MUNICIPAL DE ALEXANIA
2769514,HOSPITAL MUNICIPAL CARLOS RIBEIRO DE SOUSA
2769549,HOSPITAL MUNICIPAL DE JANDAIA
2769603,HOSPITAL NOSSO SENHOR DO BONFIM SILVANIA
2769875,HOSPITAL MUNICIPAL DOUGLAS FAUSTINO MACHADO
2769883,HOSPITAL MUNICIPAL ANTONIO MIGUEL FERREIRA
2789647,HOSPITAL MUNICIPAL MODESTO DE CARVALHO
2814218,HOSPITAL DO CANCER DE RIO VERDE
2940396,CENTRO DE INTERNACAO LEBLON
3017230,HOSPITAL MUNICIPAL DE BURITI DE GOIAS
3051625,HOSPITAL CLINICA DO ESPORTE
3175650,UROCENTER
3225143,HOSPITAL DE OLHOS DE APARECIDA
3354423,HOSPITAL MUNICIPAL JOSE REZENDE DE BOM JESUS
3388638,HOSPITAL ISMAEL QUEIROZ
3461289,HOSPITAL MUNICIPAL VEREADOR JOSE SEVERINO DE AGUIAR
3485536,HOSPITAL MUNICIPAL LAUDELINO BUENO DA SILVA
3508196,CCO CLINICA E CIRURGIA DE OLHOS LTDA
3771962,HOSPITAL ESTADUAL DE ANAPOLIS DR HENRIQUE SANTILLO HEANA
3795292,HOSPITAL MUNICIPAL DR ABIUD PONCIANO DIAS
3912140,HOSPITAL VITAL
3940829,HOSPITAL PEDIATRICO DR WILLIAN SAFATLE
3958183,HOSPITAL ESTADUAL CREDEQ PROF JAMIL ISSY
4063112,HOSPITAL DO ENTORNO ISAC
4261682,HOSPITAL MATERNO INFANTIL AUGUSTA BASTOS
4520971,MATERNIDADE MUNICIPAL MARIA DA CRUZ GOMES SANTANA
4670906,HOSPITAL ESTADUAL DE AGUAS LINDAS RONALDO RAMOS CAIADO FILHO
5095808,HOSPITAL ESTADUAL DE TRINDADE WALDA F DOS SANTOS HETRIN
5419662,HOSPITAL ESTAD DE APARECIDA DE GOIANIA CAIRO LOUZADA HEAPA
5584108,HOSPITAL MUNICIPAL DE RUBIATABA
5685834,HOSPITAL DR DOMINGOS MENDES
5882451,HOSPITAL MUNICIPAL DO JARDIM INGA
5893232,PRONTO SOCORRO MUNICIPAL DR CARLOS ANTONIO COSTA MAROT
5983967,CTR CENTRO DE TERAPIA RENAL
6006914,HOSPITAL MUNICIPAL ANTONIO BATISTA DA SILVA
6228585,CENTRO MEDICO HOSPITALAR DONA LATIFA
6277578,HOSPITAL MUNICIPAL DE PARAUNA
6281303,HOSPITAL MUNICIPAL DE VALPARAISO
6392350,CEMED CENTRO MEDICO E DIGNOSTICO LTDA
6402305,MATERNIDADE MUNICIPAL ARISTINA CANDIDA
6612555,HOSPITAL MUNICIPAL DE GOIAS
6630537,DOMA MEDICINA AVANCADA
6634702,CENTRO CLINICO MUNICIPAL
6665322,HOSPITAL ESTADUAL DE SANTA HELENA DE GOIAS HERSO
7002777,CLIAME
7167814,HOSPITAL E MATERNIDADE SAO MATEUS
7177534,CEO CENTRO DE ESPECIALIDADES E OFTAMOLOGIA
7182813,PRONTO ATENDIMENTO DA CLINICA SANTA MARIA LTDA
7532024,HOSPITAL PADRE TIAGO NA PROVIDENCIA DE DEUS
7577168,HOSPITAL UNIVERSITARIO EVANGELICO DE GOIANESIA
7711859,CDO CIRURGIAS
7743068,HOSPITAL ESTADUAL DE URGENCIAS GOV OTAVIO LAG SIQUEIRA HUGOL
7772173,COMPLEXO DE REFE ESTADUAL SAUDE MENTAL PROF JAMIL ISSY CRESM
7779461,UNIDADE DE PRONTO ATENDIMENTO WALTER AUGUSTO FERNANDES
7813767,UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS
8013543,HOSPITAL MUNICIPAL DR EVARISTO VILELA MACHADO
9135499,HOSPITAL MUNICIPAL ADAO NAZIR MARTINS SILVA
9138625,CENTRO ATEN PROLONGADA CASA APOIO COND SOLIDARIEDADE CEAPSOL
9150145,HOSPITAL MUNICIPAL DR CELSO MAEDA
9166386,HOSPITAL MUNICIPAL JOAQUIM MONTEIRO DA SILVA
9276149,HOSPITAL NASR FAIAD IPAMERI
9541004,UNIDADE DE PRONTO ATENDIMENTO
9548149,HOSPITAL SANTA MONICA
9613137,HOSPITAL INOVA
9680977,HOSPITAL MUNICIPAL DE APARECIDA DE GOIANIA HMAP
9813349,HOSPITAL SERRA DA MESA HSM
9825371,CEMA CENTRO DE ESPECIALIDADES MEDICAS DE APARECIDA
00245958000142,CLINICA QUEIROZ SOCIEDADE SIMPLES LIMITADA
00394452050038,HOSPITAL DE GUARNICAO DE MARABA
00685005000103,HOSPITAL SANTA HELENA SC LTDA
01057679000118,M I RABELO DUARTE
01507380000118,HOSPITAL E MAT HELIO ALVES DA SILVA SC LTDA
01569132000100,INSTITUTO INTEGRADO DE SAUDE LTDA
01574036000141,LEALMORAES LTDA
01640539000178,HOSPITAL E MATERNIDADE FREI SAMARATE SC LTDA
01747603000114,REGIANNE PIRES CIA LTDA
01868641000125,HOSPITAL SANTA MARIA SC LTDA
02083986000136,HOSPITAL MATERNIDADE SAO MIGUEL LTDA
02202173000118,HOSPITAL JULIA SEFER SA LTDA
02709296000220,SECRETARIA MUNICIPAL DE SAUDE DE SAO FELIX DO XINGU
03183699000160,COLETTO E NEWMANN
03216882000115,ULTRACLINICA S C LTDA
03264911000114,HOSPITAL DAS CLINICAS DE ANANINDEUA SC LTDA
03324861000113,FUNDACAO HOSPITALAR VALE DO JARI
03418190000150,SAUDE CENTER HOSPITAL E MATERNIDADE
03423997000180,CAIRES CIA LTDA
04151262000108,J G MEDEIROS CIA LTDA
04204863000131,HOSPITAL SAMARITANO DE JACUNDA LTDA
04219820000120,M F MALTA PETUBA CIA LTDA
04228409000110,HOSPITAL E MATERNIDADE MENINO JESUS LTDA
04357778000103,HOSPITAL MODELO LTDA
04436552000106,PREFEITURA MUNICIPAL DE JACUNDA
04436817000168,HOSPITAL E MATERNIDADE STA CLARA LTDA
04458767000110,HOSPITAL CENTRAL DE PIRABAS SC LTDA
04528075000109,HOSPITAL SAO LUCAS SC LTDA
04550185000169,G SILVA SANTOS E CIA LTDA
04579488000104,HOSPITAL SAO LUCAS LTDA
04758223000173,HOSPITAL MATERNIDADE DO POVO CAPITAO POCO
04782595000135,CASA DE SAUDE MAE DO RIO
04802138000165,ACAO SOCIAL SOCIEDADE BENEFICENTE SANTO ANTONIO
04821104000118,HOSPITAL PIO XII LTDA
04883997000126,ASSOCIACAO DE PROTECAO A MATERNIDADE E INFANCIA DE ORIXIMINA
04905188000178,SERVICO MEDICO HOSPITALAR
04914206000188,CLINICA PEDIATRICA DO PARA LTDA
04920476000100,CLINICA CIRURGICA E ORTOPEDICA LTDA
04928453000133,POLICLINICA INFANTIL LTDA
04928479000181,BENEMERITA SOCIEDADE PORTUGUESA BENEFICENTE DO PARA
04929345000185,FUNDACAO SANTA CASA DE MISERICORDIA DO PARA
04933933000192,MATERNIDADE DO POVO
04933933000273,MATERNIDADE DO POVO
04933933000354,MATERNIDADE DO POVO
04935409000150,VENERAVEL ORDEM TERCEIRA DE SAO FRANCISCO
04935409000231,VENERAVEL ORDEM TERCEIRA DE SAO FRANCISCO
04938437000121,SANTA TERESINHA HOSPITAL INFANTIL LTDA
04955142000163,INSTITUTO OFIR LOYOLA
04959383000180,HOSPITAL DOS SERVIDORES DO ESTADO
04993812000136,HOSPITAL DAS CLINICAS DE ALTAMIRA LTDA
05001243000168,HOSPITAL E MATERNIDADE JOAO XXIII
05001615000156,HOSPITAL E MATERNIDADE DE ANGELI LTDA
05009287000134,HOSPITAL E MATERNIDADE NOSSA SENHORA DE NAZARE
05015755000183,HOSPITAL DOM BOSCO LTDA
05032420000173,QUEIROZ CIA LTDA EPP
05033423000121,AZEVEDO GONCALVES E CUNHA LTDA
05051115000129,CASA DE SAUDE E MATERNIDADE SANTO ANTONIO LTDA
05054929003990,SECRETARIA DE ESTADO DE SAUDE PUBLICA
05054929005003,SECRETARIA EXECUTIVA DE SAUDE PUBLICA
05054929006077,SECRETARIA DE ESTADO DE SAUDE PUBLICA
05097571000100,HOSPITAL SAO JOAQUIM LTDA
05140009000111,HOSPITAL SAO VICENTE LTDA
05180351000145,HOSPITAL DAS CLINICAS DE CAPANEMA LTDA
05182084000145,HOSPITAL IMACULADA CONCEICAO LTDA
05193057000259,PREFEITURA MUNICIPAL DE PARAGOMINAS
